Year,County,HarvestBuck,HarvestDoe,HarvestFawn,CountyTotalHarvest,CountyDays
2024,Walker,4258,2991,56,7305,122008
2024,Washington,1554,3208,350,5112,82143
2024,Wilcox,1705,2110,0,3815,61365
2024,Winston,1973,1902,167,4042,68970
2024,Unknown,4262,3878,506,8646,80560
2023,Autauga,2852,3248,140,6240,129899
2023,Baldwin,2575,6400,338,9313,162278
2023,Barbour,6258,5309,47,11614,166819
2023,Bibb,3199,2033,200,5432,89309
2023,Blount,1002,1291,47,2340,41766
2023,Bullock,3144,6288,147,9579,99686
2023,Butler,3544,2549,47,6140,79686
2023,Calhoun,1231,1215,185,2631,89102
2023,Chambers,2860,3717,590,7167,111084
2023,Cherokee,842,594,94,1530,45961
2023,Chilton,1091,2184,100,3375,67105
2023,Choctaw,1311,1389,0,2700,58020
2023,Clarke,2919,2438,294,5651,99898
2023,Clay,1113,922,341,2376,49188
2023,Cleburne,1490,541,0,2031,81146
2023,Coffee,2562,2389,0,4951,86641
2023,Colbert,1305,1029,100,2434,53415
2023,Conecuh,1879,3544,0,5423,81085
2023,Coosa,1817,2707,100,4624,91016
2023,Covington,3168,2309,140,5617,122668
2023,Crenshaw,2917,4883,47,7847,90151
2023,Cullman,2590,1144,0,3734,86332
2023,Dale,3527,2162,0,5689,108026
2023,Dallas,1371,3489,0,4860,68154
2023,DeKalb,1360,1880,100,3340,76941
2023,Elmore,3448,3093,100,6641,97506
2023,Escambia,1884,2276,0,4160,71436
2023,Etowah,937,1131,0,2068,51108
2023,Fayette,1236,546,0,1782,32717
2023,Franklin,1603,1280,94,2977,61206
2023,Geneva,1436,1106,0,2542,43882
2023,Greene,1436,1106,0,2542,39299
2023,Hale,546,1347,100,1993,34921
2023,Henry,2113,1905,441,4459,77069
2023,Houston,837,1383,137,2357,47184
2023,Jackson,5434,4015,0,9449,166418
2023,Jefferson,1002,902,100,2004,59053
2023,Lamar,995,1932,0,2927,33432
2023,Lauderdale,1383,2770,100,4253,96687
2023,Lawrence,1671,788,489,2948,68954
2023,Lee,3433,2431,147,6011,120139
2023,Limestone,993,2238,200,3431,70586
2023,Lowndes,2999,2462,94,5555,67331
2023,Macon,1990,4018,0,6008,110049
2023,Madison,3248,2640,0,5888,72465
2023,Marengo,1961,2885,0,4846,70806
2023,Marion,1291,3318,96,4705,63854
2023,Marshall,966,688,0,1654,49155
2023,Mobile,2199,2094,0,4293,89014
2023,Monroe,2714,2672,47,5433,94417
2023,Montgomery,2908,3609,0,6517,99065
2023,Morgan,1349,795,0,2144,58519
2023,Perry,3007,2553,0,5560,61433
2023,Pickens,888,1507,0,2395,45275
2023,Pike,2694,2515,147,5356,105149
2023,Randolph,2085,2132,94,4311,86172
2023,Russell,2733,5053,194,7980,114670
2023,St. Clair,501,401,47,949,30872
2023,Shelby,1196,1944,200,3340,77946
2023,Sumter,1084,1037,0,2121,44058
2023,Talladega,793,893,47,1733,46802
2023,Tallapoosa,2146,4272,100,6518,116230
2023,Tuscaloosa,2605,2552,100,5257,80414
2023,Walker,1596,2092,200,3888,88321
2023,Washington,1650,2233,0,3883,119259
2023,Wilcox,2084,3370,147,5601,98565
2023,Winston,1977,3141,0,5118,107839
2023,Unknown,3812,3053,341,7206,94607
2022,Autauga,2239,2239,0,4478,71540
2022,Baldwin,4938,5071,86,10095,158867
2022,Barbour,3817,643,121,4581,135847
2022,Bibb,1976,3390,258,5624,92960
2022,Blount,1461,773,86,2320,50702
2022,Bullock,1802,6459,86,8347,71015
2022,Butler,2263,3062,89,5414,66919
2022,Calhoun,945,2921,172,4038,89091
2022,Chambers,1298,2371,0,3669,84668
2022,Cherokee,1203,2208,0,3411,62471
2022,Chilton,2866,3007,172,6045,120938
2022,Choctaw,2167,2280,0,4447,62969
2022,Clarke,2776,2081,172,5029,75291
2022,Clay,1203,1890,86,3179,65392
2022,Cleburne,318,318,0,636,26946
2022,Coffee,1804,2802,172,4778,78858
2022,Colbert,2372,1621,0,3993,83022
2022,Conecuh,1722,1798,86,3606,70387
2022,Coosa,1435,1238,172,2845,60287
2022,Covington,1617,1349,86,3052,59147
2022,Crenshaw,1550,1263,0,2813,56024
2022,Cullman,945,430,0,1375,29196
2022,Dale,1865,1289,0,3154,65826
2022,Dallas,2394,6078,430,8902,92140
2022,DeKalb,1582,1585,0,3167,90108
2022,Elmore,2960,2960,86,6006,86601
2022,Escambia,2876,2833,86,5795,90583
2022,Etowah,1453,984,86,2523,85800
2022,Fayette,1461,2062,258,3781,88304
2022,Franklin,773,859,86,1718,42701
2022,Geneva,1757,914,0,2671,62195
2022,Greene,1410,2279,0,3689,55027
2022,Hale,945,945,86,1976,46527
2022,Henry,722,1951,318,2991,53879
2022,Houston,1375,2827,0,4202,63352
2022,Jackson,2921,3819,86,6826,156930
2022,Jefferson,1289,2054,86,3429,64133
2022,Lamar,1531,1712,0,3243,57326
2022,Lauderdale,1302,2325,0,3627,75472
2022,Lawrence,1976,687,86,2749,75706
2022,Lee,1999,4315,258,6572,91907
2022,Limestone,687,1921,172,2780,46049
2022,Lowndes,1556,1671,0,3227,63660
2022,Macon,1867,4616,0,6483,78019
2022,Madison,1804,1375,0,3179,71542
2022,Marengo,2415,2167,86,4668,76582
2022,Marion,1117,2062,86,3265,66803
2022,Marshall,344,0,0,344,27236
2022,Mobile,2148,2054,640,4842,84596
2022,Monroe,1824,3741,0,5565,91336
2022,Montgomery,3641,4756,172,8569,105767
2022,Morgan,516,86,0,602,26009
2022,Perry,1642,1117,86,2845,60065
2022,Pickens,3284,3249,172,6705,133412
2022,Pike,2597,3481,0,6078,80155
2022,Randolph,1152,1213,86,2451,33122
2022,Russell,3267,4448,86,7801,112107
2022,St. Clair,1375,1242,0,2617,85578
2022,Shelby,2913,2570,172,5655,102300
2022,Sumter,1273,1111,61,2445,43436
2022,Talladega,1632,516,86,2234,60314
2022,Tallapoosa,2531,2578,0,5109,83565
2022,Tuscaloosa,4249,4546,172,8967,186678
2022,Walker,2935,2148,430,5513,119696
2022,Washington,3171,2874,0,6045,79182
2022,Wilcox,2314,2798,490,5602,99650
2022,Winston,1289,601,86,1976,71201
2022,Unknown,5176,5451,344,10971,169323
2021,Autauga,946,1862,0,2808,89695
2021,Baldwin,4506,6852,315,11673,163435
2021,Barbour,1691,3502,0,5193,90707
2021,Bibb,1340,1970,79,3389,68048
2021,Blount,552,788,79,1419,46813
2021,Bullock,2092,1526,0,3618,60826
2021,Butler,1275,2392,0,3667,98481
2021,Calhoun,1576,1468,79,3123,73143
2021,Chambers,1517,1655,0,3172,51982
2021,Cherokee,1741,1748,79,3568,57718
2021,Chilton,1419,1576,79,3074,81374
2021,Choctaw,1990,1913,0,3903,76281
2021,Clarke,2923,2837,79,5839,111372
2021,Clay,1633,2207,0,3840,44955
2021,Cleburne,788,394,79,1261,53634
2021,Coffee,717,1103,79,1899,42429
2021,Colbert,960,473,0,1433,48900
2021,Conecuh,3290,3044,0,6334,88951
2021,Coosa,2049,1891,158,4098,95864
2021,Covington,2122,2085,158,4365,79348
2021,Crenshaw,1691,2413,0,4104,69383
2021,Cullman,1505,867,79,2451,60162
2021,Dale,1591,1025,86,2702,74563
2021,Dallas,2736,4138,158,7032,76747
2021,DeKalb,638,1734,394,2766,37850
2021,Elmore,2098,2069,79,4246,80121
2021,Escambia,2294,2085,0,4379,69999
2021,Etowah,867,1103,0,1970,49843
2021,Fayette,2170,2493,158,4821,73893
2021,Franklin,717,473,0,1190,44581
2021,Geneva,158,667,172,997,34367
2021,Greene,1239,553,1924,3716,44428
2021,Hale,1675,1232,79,2986,50548
2021,Henry,1426,1103,158,2687,42809
2021,Houston,1283,1103,79,2465,48448
2021,Jackson,4197,2916,79,7192,160799
2021,Jefferson,1596,2227,0,3823,75834
2021,Lamar,1955,2800,86,4841,66933
2021,Lauderdale,2421,773,79,3273,85505
2021,Lawrence,946,158,0,1104,32092
2021,Lee,960,2142,79,3181,58746
2021,Limestone,1103,1517,79,2699,49341
2021,Lowndes,1389,874,158,2421,31136
2021,Macon,1189,1088,0,2277,64203
2021,Madison,2027,1677,79,3783,91952
2021,Marengo,2808,5309,0,8117,94755
2021,Marion,1834,5927,1459,9220,100639
2021,Marshall,1340,630,79,2049,50832
2021,Mobile,1591,1232,158,2981,104323
2021,Monroe,2358,2903,0,5261,107093
2021,Montgomery,1820,1906,236,3962,63963
2021,Morgan,946,946,0,1892,119157
2021,Perry,1633,3923,79,5635,83800
2021,Pickens,3031,2672,158,5861,106646
2021,Pike,1720,2250,86,4056,67697
2021,Randolph,1046,1999,244,3289,49941
2021,Russell,3203,3526,79,6808,144922
2021,St. Clair,1103,1891,79,3073,54772
2021,Shelby,3074,3044,79,6197,129421
2021,Sumter,1433,687,365,2485,51828
2021,Talladega,1734,1419,0,3153,73609
2021,Tallapoosa,2815,1734,79,4628,106794
2021,Tuscaloosa,3396,5133,236,8765,99824
2021,Walker,2414,4620,315,7349,118894
2021,Washington,1869,1490,158,3517,75365
2021,Wilcox,2256,1039,244,3539,77976
2021,Winston,867,709,0,1576,62102
2021,Unknown,4108,5004,323,9435,120325
2020,Autauga,1446,3660,120,5226,96556
2020,Baldwin,2485,3463,0,5948,110425
2020,Barbour,2372,3023,147,5542,99837
2020,Bibb,1442,652,72,2166,79819
2020,Blount,888,647,120,1655,55249
2020,Bullock,1915,3582,0,5497,70417
2020,Butler,1399,3370,144,4913,80844
2020,Calhoun,289,1057,0,1346,45325
2020,Chambers,1475,1132,144,2751,47573
2020,Cherokee,1321,721,72,2114,32700
2020,Chilton,1177,2042,0,3219,88345
2020,Choctaw,1205,2688,75,3968,55598
2020,Clarke,2503,2475,72,5050,92670
2020,Clay,1132,942,0,2074,52448
2020,Cleburne,839,292,0,1131,64427
2020,Coffee,1527,552,192,2271,56798
2020,Colbert,649,985,72,1706,45208
2020,Conecuh,1907,2573,72,4552,61630
2020,Coosa,1108,2184,508,3800,100753
2020,Covington,1449,1424,361,3234,58567
2020,Crenshaw,1101,1362,0,2463,46708
2020,Cullman,1396,841,0,2237,47447
2020,Dale,1154,1010,0,2164,41684
2020,Dallas,1899,3128,0,5027,84582
2020,DeKalb,985,1298,0,2283,53792
2020,Elmore,865,1752,144,2761,47756
2020,Escambia,844,867,0,1711,56928
2020,Etowah,505,600,72,1177,33776
2020,Fayette,552,1201,72,1825,40609
2020,Franklin,1255,2112,289,3656,50075
2020,Geneva,1136,652,0,1788,40110
2020,Greene,1873,2401,0,4274,52587
2020,Hale,1966,1224,0,3190,39618
2020,Henry,1678,1806,144,3628,42130
2020,Houston,1082,1298,216,2596,54599
2020,Jackson,2002,1613,72,3687,106873
2020,Jefferson,505,913,0,1418,58377
2020,Lamar,841,3152,0,3993,58340
2020,Lauderdale,985,1366,361,2712,62618
2020,Lawrence,1010,505,0,1515,55943
2020,Lee,1132,1064,0,2196,70667
2020,Limestone,888,2090,72,3050,61765
2020,Lowndes,1332,819,192,2343,47159
2020,Macon,1088,2519,144,3751,56006
2020,Madison,1301,1951,0,3252,45662
2020,Marengo,1591,1904,216,3711,54669
2020,Marion,1731,2308,216,4255,53419
2020,Marshall,624,144,0,768,37563
2020,Mobile,624,1296,144,2064,74862
2020,Monroe,1249,2032,72,3353,94478
2020,Montgomery,1691,3541,0,5232,85572
2020,Morgan,841,600,0,1441,51552
2020,Perry,1277,1829,72,3178,72932
2020,Pickens,1431,3187,72,4690,80928
2020,Pike,850,1193,75,2118,36426
2020,Randolph,1132,844,0,1976,55674
2020,Russell,1158,3532,72,4762,86069
2020,St. Clair,1105,913,0,2018,30895
2020,Shelby,1778,1970,72,3820,120459
2020,Sumter,1749,2068,0,3817,70840
2020,Talladega,1418,1057,144,2619,74279
2020,Tallapoosa,1668,655,216,2539,60718
2020,Tuscaloosa,3145,3746,0,6891,190594
2020,Walker,2137,1562,144,3843,87101
2020,Washington,292,1010,0,1302,94985
2020,Wilcox,1604,3117,72,4793,54386
2020,Winston,1731,1562,216,3509,83728
2020,Unknown,3356,3040,75,6471,88761
2019,Autauga,1559,1553,222,3334,70192
2019,Baldwin,3187,4446,0,7633,125266
2019,Barbour,2141,3410,74,5625,100355
2019,Bibb,889,667,74,1630,38189
2019,Blount,444,370,0,814,45539
2019,Bullock,2057,3401,74,5532,65104
2019,Butler,1354,3400,98,4852,82286
2019,Calhoun,148,296,0,444,44543
2019,Chambers,968,1417,74,2459,55974
2019,Cherokee,898,913,0,1811,31946
2019,Chilton,667,519,0,1186,39242
2019,Choctaw,1314,1509,0,2823,55404
2019,Clarke,1117,2175,0,3292,74656
2019,Clay,744,815,0,1559,28954
2019,Cleburne,74,222,0,296,42707
2019,Coffee,1231,1193,0,2424,65242
2019,Colbert,715,593,0,1308,28852
2019,Conecuh,1169,3234,74,4477,67279
2019,Coosa,1135,839,0,1974,68866
2019,Covington,918,1642,451,3011,66714
2019,Crenshaw,741,1219,296,2256,41372
2019,Cullman,543,617,0,1160,38731
2019,Dale,1308,815,74,2197,54448
2019,Dallas,2221,5931,98,8250,95345
2019,DeKalb,519,815,74,1408,31703
2019,Elmore,2224,2438,566,5228,56115
2019,Escambia,665,921,98,1684,56106
2019,Etowah,345,0,0,345,24856
2019,Fayette,1111,1333,0,2444,40243
2019,Franklin,691,963,0,1654,34681
2019,Geneva,522,679,0,1201,20081
2019,Greene,1514,1539,0,3053,59668
2019,Hale,765,3382,0,4147,42617
2019,Henry,2179,1533,74,3786,64780
2019,Houston,889,892,296,2077,35079
2019,Jackson,1850,1826,74,3750,88588
2019,Jefferson,1308,1556,0,2864,70532
2019,Lamar,1037,1456,74,2567,47656
2019,Lauderdale,916,1553,0,2469,61787
2019,Lawrence,593,222,0,815,28071
2019,Lee,1451,1932,0,3383,79343
2019,Limestone,1678,1926,0,3604,65662
2019,Lowndes,1293,2844,0,4137,59966
2019,Macon,1462,3115,0,4577,82135
2019,Madison,1483,1408,665,3556,80686
2019,Marengo,1061,743,74,1878,57236
2019,Marion,1135,1704,0,2839,56989
2019,Marshall,172,0,0,172,25858
2019,Mobile,889,1556,0,2445,62969
2019,Monroe,1635,1704,0,3339,100407
2019,Montgomery,1836,1780,77,3693,85865
2019,Morgan,395,74,0,469,28693
2019,Perry,1209,3133,74,4416,84841
2019,Pickens,997,768,0,1765,45600
2019,Pike,1195,1565,0,2760,48738
2019,Randolph,824,972,0,1796,40960
2019,Russell,1880,4340,148,6368,66176
2019,St. Clair,694,448,74,1216,42824
2019,Shelby,739,519,0,1258,46563
2019,Sumter,839,1358,0,2197,35569
2019,Talladega,543,1011,0,1554,37094
2019,Tallapoosa,889,1756,77,2722,90597
2019,Tuscaloosa,2153,3130,0,5283,98039
2019,Walker,765,1923,0,2688,80361
2019,Washington,1805,2251,0,4056,74080
2019,Wilcox,2014,2457,0,4471,83342
2019,Winston,1727,1802,74,3603,83342
2018,Autauga,798,1761,88,2647,56284
2018,Baldwin,2815,3315,119,6249,116911
2018,Barbour,1547,2196,88,3831,76225
2018,Bibb,915,1414,88,2417,59952
2018,Blount,767,1092,177,2036,73860
2018,Bullock,1754,1964,88,3806,63958
2018,Butler,2004,2803,0,4807,79267
2018,Calhoun,413,60,0,473,50694
2018,Chambers,1080,1926,88,3094,85882
2018,Cherokee,1063,650,0,1713,42606
2018,Chilton,678,1151,60,1889,62028
2018,Choctaw,1339,1224,0,2563,47764
2018,Clarke,1524,2216,265,4005,71371
2018,Clay,972,442,0,1414,54896
2018,Cleburne,855,678,60,1593,54173
2018,Coffee,720,920,0,1640,56711
2018,Colbert,561,681,88,1330,49779
2018,Conecuh,2089,2671,0,4760,88213
2018,Coosa,1003,1240,0,2243,92415
2018,Covington,1105,1187,0,2292,58741
2018,Crenshaw,834,3953,60,4847,83213
2018,Cullman,1361,769,0,2130,33464
2018,Dale,1623,354,0,1977,47125
2018,Dallas,3357,5564,88,9009,143004
2018,DeKalb,974,1092,0,2066,41311
2018,Elmore,961,1664,0,2625,61237
2018,Escambia,2220,3915,0,6135,104703
2018,Etowah,709,136,0,845,64539
2018,Fayette,1288,1173,88,2549,65477
2018,Franklin,590,1238,0,1828,34183
2018,Geneva,1009,1364,77,2450,45675
2018,Greene,859,2099,88,3046,69775
2018,Hale,915,592,177,1684,52547
2018,Henry,2045,2275,0,4320,57701
2018,Houston,855,678,0,1533,26930
2018,Jackson,1947,1715,177,3839,111181
2018,Jefferson,1032,681,0,1713,89734
2018,Lamar,3098,3275,177,6550,78798
2018,Lauderdale,2389,3275,148,5812,84127
2018,Lawrence,709,148,0,857,40799
2018,Lee,905,1562,0,2467,76801
2018,Limestone,1268,473,0,1741,54143
2018,Lowndes,2585,1144,0,3729,44763
2018,Macon,944,3050,0,3994,68212
2018,Madison,1657,590,0,2247,48797
2018,Marengo,1584,2203,0,3787,94560
2018,Marion,767,1830,60,2657,73546
2018,Marshall,265,354,0,619,32782
2018,Mobile,1328,826,0,2154,72256
2018,Monroe,2020,2545,60,4625,128989
2018,Montgomery,2308,2441,0,4749,71920
2018,Morgan,88,325,0,413,33431
2018,Perry,1271,1686,0,2957,67088
2018,Pickens,1556,1786,0,3342,88664
2018,Pike,1595,2083,0,3678,53439
2018,Randolph,1151,3198,0,4349,30719
2018,Russell,1151,3198,0,4349,90830
2018,St. Clair,1357,707,88,2152,48869
2018,Shelby,1378,1484,60,2922,92838
2018,Sumter,1326,1480,0,2806,52188
2018,Talladega,972,1474,0,2446,61973
2018,Tallapoosa,1271,1522,88,2881,78126
2018,Tuscaloosa,2468,2893,0,5361,133076
2018,Walker,1314,1326,165,2805,97639
2018,Washington,1322,1781,0,3103,66676
2018,Wilcox,2111,4190,196,6497,104588
2018,Winston,1034,946,177,2157,68311
