Year,WMA,Hunts,HarvestableSex,Does,Bucks,Hunters,TotalDeer,Link
2025,Griffen Bay WMA,4,Either,1,6,279,7,
2025,Hart County WMA,4,Either,11,22,234,33,
2025,Hiltonia WMA,2,Either,0,0,63,0,
2025,Horse Creek MWA ,6,Either,33,57,400,90,
2025,J.L. Lester WMA,3,Either,11,4,120,15,
2025,Joe Kurz WMA,3,Either,31,36,505,67,
2025,Johns Mountain WMA,4,Either,9,60,1017,69,
2025,Keg Creek,1,Either,3,6,162,9,
2025,Lake Russell WMA,5,Either,24,135,1083,159,
2025,Lake Seminole WMA,1,Either,0,0,0,0,
2025,Lanahassee WMA,5,Either,48,43,230,91,
2025,Little River WMA,2,Either,13,10,236,23,
2025,Little Satilla WMA ,3,Either,64,31,541,95,
2025,Lola Tract VPA,2,Either,0,2,66,2,
2025,Lower Broad River WMA,3,Either,14,20,187,34,
2025,Mayhaw WMA ,3,Either,11,37,284,48,
2025,McGraw Ford WMA,1,Either,19,23,748,42,
2025,Mead Farm WMA,1,Either,0,10,14,10,
2025,Moody Forest WMA,1,Either,33,24,212,57,
2025,Morgan Lake WMA,1,Either,1,0,19,1,
2025,Oaky Woods WMA,5,Either,62,108,687,170,
2025,Ocmulgee WMA,3,Either,18,39,335,57,
2025,Ocmulgee WMA - Gum Swamp Creek,1,Either,3,4,95,7,
2025,Oconee WMA,3,Either,50,69,772,119,
2025,Oconee WMA - Dan Denton Waterfowl Area,1,Either,0,0,53,0,
2025,Ohoopee Dunes WMA - North Tract ,3,Either,15,37,162,52,
2025,Ohoopee Dunes WMA - South Tract ,1,Either,2,2,129,4,
2025,Oliver Bridge WMA,2,Either,7,11,463,18,
2025,Ossabaw Island WMA,5,Either,46,73,315,119,
2025,Otting WMA,1,Either,5,1,105,6,
2025,Panola Mountain State Park,1,Either,18,27,48,45,
2025,Paulding Forest WMA,4,Either,43,182,2525,225,
2025,Paulks Pasture WMA,8,Either,54,74,633,128,
2025,Penholoway Swamp WMA,4,Either,27,28,347,55,
2025,Perry Dove Field ,1,Either,1,0,37,1,
2025,Phinizy Swamp WMA,1,Either,4,0,54,4,
2025,Pleasant Valley VPA,2,Either,1,0,26,1,
2025,Red Top Mountain State Park ,1,Either,15,23,N/A,38,
2025,Redlands WMA,5,Either,210,209,2148,419,
2025,Redlands WMA - Watson Spring Area,1,Either,2,0,120,2,
2025,Rich Mountain WMA,2,Either,2,60,604,62,
2025,Rich Mountain WMA - Cartecay,1,Either,6,8,252,14,
2025,Richard B. Russell State Park,1,Either,7,6,35,13,
2025,Richmond Hill WMA,3,Either,33,24,437,57,
2025,River Bend WMA,2,Either,2,1,85,3,
2025,"River Creek, The Rolf and Alexandra Kauka WMA",2,Either,1,2,106,3,
2025,Rogers WMA,1,Either,2,0,8,2,
2025,Rum Creek WMA,4,Either,25,62,404,87,
2025,Rum Creek WMA - Berry Creek,1,Either,2,2,49,4,
2025,Sansavilla WMA,6,Either,61,79,773,140,
2025,Sapelo Island WMA,5,Either,42,51,116,93,
2025,Scotland Road VPA,1,Either,1,0,21,1,
2025,Sheffield WMA,1,Either,8,14,705,22,
2025,Silver Lake WMA,4,Either,44,20,310,64,
2025,Soap Creek WMA,3,Either,5,8,140,13,
2025,Sparks Cut Off VPA,1,Either,3,0,62,3,
2025,Spirit Creek Forest WMA,1,Either,2,2,152,4,
2025,Sprewell Bluff WMA - West,2,Either,6,5,643,11,
2025,Standing Boy State Park,1,Either,3,2,28,5,
2025,Swallow Creek WMA,4,Antlered,0,23,291,23,
2025,Tallapoosa River WMA,4,Either,6,7,105,13,
2025,Tallulah George WMA,3,Antlered,0,3,195,3,
2025,Townsend WMA - Buck Island Tract,3,Either,8,4,203,12,
2025,"Townsend WMA  - North, South, and Pine Island Tracts",7,Either,36,34,480,70,
2025,Treat Mountain WMA,4,Either,8,21,247,29,
2025,Tuckahoe WMA,3,Either,12,22,247,34,
2025,Tugaloo State Park ,1,Either,5,9,32,14,
2025,Warwoman WMA,3,Antlered,0,30,288,30,
2025,West Point WMA,5,Either,29,43,882,72,
2025,West Point WMA - Dixie Creek,1,Either,8,3,119,11,
2025,West Point WMA - Glover Creek,1,Either,0,0,61,0,
2025,Wilson Shoals WMA,3,Either,11,23,605,34,
2025,Yuchi WMA,8,Either,20,68,641,88,
2025,Zahnd WMA,1,Either,8,5,124,13,
2024,Alapaha River WMA,5,Either,38,54,770,92,
2024,Albany Nursery WMA,3,Either,3,1,54,4,
2024,Alexander WMA,3,Either,21,18,221,39,
2024,Allatoona WMA,4,Either,158,163,1365,321,
2024,Alligator Creek WMA,3,Either,13,10,254,23,
2024,Altama Plantation WMA,5,Either,6,9,103,15,
2024,"Altamaha WMA - Buffalo Swamp, Lewis Island, and McGowan Lake Tracts",3,Either,10,7,263,17,
2024,Altamaha WMA - Waterfowl Management Area,1,Either,0,1,41,1,
2024,Arrowhead,3,Either,3,0,58,3,
2024,B.F. Grant WMA,5,Either,72,90,741,162,
2024,Balls Ferry State Park,3,Either,0,0,14,0,
2024,Bartam Forest,1,Either,15,17,85,32,
2024,Beaverdam WMA,6,Either,30,55,329,85,
2024,Berry College WMA,4,Either,51,169,1542,220,
2024,Big Hammock WMA,5,Either,20,13,434,33,
2024,Big Lazer Creek WMA,5,Either,26,34,675,60,
2024,Blanton Creek,6,Either,33,30,466,63,
2024,Blue Ridge WMA,4,Either,1,48,667,49,
2024,Broad River WMA,1,Either,6,5,176,11,
2024,Buck Shoals WMA,2,Either,3,6,18,9,
2024,Bullard Creek WMA,7,Either,129,134,939,263,
2024,Bullard Creek WMA - Bell Telephone Tract,1,Either,5,1,65,6,
2024,Bullard Creek WMA - Montgomery Tract ,1,Either,4,0,66,4,
2024,Bullard Creek WMA - Ocmulgee Tract,1,Either,7,6,91,13,
2024,Camp Thunder VPA,1,Either,6,5,99,11,
2024,Canoochee Sandhills WMA,4,Either,11,15,221,26,
2024,Carters Lake WMA,5,Either,27,19,295,46,
2024,Cedar Creek WMA,6,Either,124,426,2445,550,
2024,Cedar Grove VPA,1,Either,3,1,46,4,
2024,Ceylon WMA,5,Either,60,37,545,97,
2024,Charles B. Henson VPA,1,Either,12,9,168,21,
2024,Chattahoochee Fall Line WMA - Almo,4,Either,16,30,201,46,
2024,Chattahoochee Fall Line WMA - Fort Perry,1,Either,3,2,171,5,
2024,Chattahoochee Fall Line WMA - Hilliard,7,Either,40,25,326,65,
2024,Chattahoochee Fall Line WMA - VPA Tracts,1,Either,4,6,198,10,
2024,Chattahoochee WMA,5,Antlered,0,19,659,19,
2024,Chestatee WMA,6,Antlered,0,29,637,29,
2024,Chickasawhatchee WMA,7,Either,104,158,594,262,
2024,Clarks Hill WMA - East,4,Either,52,54,451,106,
2024,Clarks Hill WMA - West,3,Either,0,0,472,0,
2024,Clayhole Swamp WMA,7,Either,15,4,280,19,
2024,Clybel WMA,8,Either,42,85,559,127,
2024,Cohutta WMA,5,Antlered,0,38,1681,38,
2024,Conasauga River WMA,1,Either,3,8,392,11,
2024,Coopers Creek WMA,6,Antlered,0,57,826,57,
2024,Coosawattee WMA,5,Either,50,45,533,95,
2024,Crockford-Pigeon Mountain WMA,7,Either,68,214,1899,282,
2024,Dawson Forest WMA,6,Either,30,97,2954,127,
2024,Di-Lane Plantation WMA,4,Either,66,67,638,133,
2024,Dixon Bay WMA,2,Either,3,1,42,4,
2024,Dixon Memorial WMA,11,Either,64,63,1088,127,
2024,Dodge County PFA,1,Either,1,2,31,3,
2024,Doerun Pitcherplant Bog WMA,1,Either,7,4,122,11,
2024,Don Carter State Park,1,Either,58,39,47,97,
2024,Dukes Creek - Smithgall Woods State Park,4,Antlered,0,8,196,8,
2024,Dupoont Tract VPA,3,Either,1,2,4,3,
2024,Echeconnee Creek WMA,1,Either,4,7,49,11,
2024,Elbert County WMA,4,Either,25,30,581,55,
2024,Elmodel WMA,1,Either,12,14,160,26,
2024,Fishing Creek WMA,3,Either,11,12,160,23,
2024,Flat Creek PFA,1,Either,6,12,92,18,
2024,Flat Tub WMA ,5,Either,22,27,533,49,
2024,Flint River WMA,5,Either,30,33,211,63,
2024,Fort Yargo State Park,1,Either,16,21,47,37,
2024,Gaither WMA,6,Either,13,14,148,27,
2024,Germany Creek WMA,3,Either,10,9,112,19,
2024,Grand Bay WMA,5,Either,6,16,225,22,
2024,Griffen Bay WMA,5,Either,7,11,436,18,
2024,Hannahatchee WMA,3,Either,52,49,608,101,
2024,Hard Labor Creek State Park,1,Either,55,69,130,124,
2024,Hart County WMA,4,Either,4,17,232,21,
2024,Hiltonia WMA,2,Either,2,0,92,2,
2024,Horse Creek MWA ,9,Either,42,62,548,104,
2024,J.L. Lester WMA,4,Either,12,11,159,23,
2024,Joe Kurz WMA,4,Either,43,40,587,83,
2024,Johns Mountain WMA,6,Either,7,53,772,60,
2024,Keg Creek,1,Either,3,1,159,4,
2024,Lake Russell WMA,5,Either,14,142,1472,156,
2024,Lake Seminole WMA,3,Either,3,2,112,5,
2024,Lake Walter F. George WMA,1,Either,2,1,41,3,
2024,Lanahassee WMA,6,Either,43,34,269,77,
2024,Little River WMA,3,Either,6,7,231,13,
2024,Little Satilla WMA ,3,Either,75,33,893,108,
2024,Lola Tract VPA,3,Either,3,5,67,8,
2024,Lower Broad River WMA,3,Either,17,11,111,28,
2024,Mayhaw WMA ,4,Either,79,74,425,153,
2024,McGraw Ford WMA,1,Either,19,22,787,41,
2024,Mead Farm WMA,1,Either,0,0,27,0,
2024,Montezuma Bluffs WMA,1,Either,7,3,58,10,
2024,Moody Forest WMA,1,Either,50,33,214,83,
2024,Morgan Lake WMA,1,Either,0,0,11,0,
2024,Oaky Woods WMA,5,Either,27,103,715,130,
2024,Ocmulgee WMA,5,Either,35,160,879,195,
2024,Ocmulgee WMA - Gum Swamp Creek,1,Either,7,1,75,8,
2024,Oconee WMA,4,Either,68,75,679,143,
2024,Oconee WMA - Dan Denton Waterfowl Area,1,Either,6,3,28,9,
2024,Ohoopee Dunes WMA - North Tract ,4,Either,21,40,213,61,
2024,Ohoopee Dunes WMA - South Tract ,1,Either,2,1,78,3,
2024,Oliver Bridge WMA,3,Either,11,7,650,18,
2024,Ossabaw Island WMA,5,Either,60,82,243,142,
2024,Otting WMA,1,Either,5,2,73,7,
2024,Panola Mountain State Park,1,Either,26,29,49,55,
2024,Paulding Forest WMA,6,Either,57,170,2668,227,
2024,Paulks Pasture WMA,10,Either,40,49,674,89,
2024,Penholoway Swamp WMA,6,Either,12,7,193,19,
2024,Perry Dove Field ,1,Either,2,0,39,2,
2024,Phinizy Swamp WMA,1,Either,2,3,70,5,
2024,Pleasant Valley VPA,2,Either,0,1,12,1,
2024,Redlands WMA,5,Either,177,292,2728,469,
2024,Redlands WMA - Watson Spring Area,2,Either,2,5,227,7,
2024,Rich Mountain WMA,3,Either,4,54,563,58,
2024,Rich Mountain WMA - Cartecay,1,Either,8,14,249,22,
2024,Richard B. Russell State Park,1,Either,19,19,37,38,
2024,Richmond Hill WMA,3,Either,36,23,609,59,
2024,River Bend WMA,5,Either,13,28,298,41,
2024,"River Creek, The Rolf and Alexandra Kauka WMA",6,Either,14,12,159,26,
2024,Rocky Mountain Recreation PFA,1,Either,5,10,225,15,
2024,Rogers WMA,3,Either,0,0,64,0,
2024,Rum Creek WMA,5,Either,46,65,431,111,
2024,Rum Creek WMA - Berry Creek,1,Either,2,1,66,3,
2024,Sandhills WMA - East,1,Either,0,0,39,0,
2024,Sandhills WMA - West ,3,Either,7,7,203,14,
2024,Sansavilla WMA,10,Either,54,55,1133,109,
2024,Sapelo Island WMA,6,Either,81,95,231,176,
2024,Scotland Road VPA,1,Either,1,0,7,1,
2024,Sheffield WMA,1,Either,11,14,697,25,
2024,Silver Lake WMA,7,Either,65,94,583,159,
2024,Soap Creek WMA,3,Either,14,12,93,26,
2024,Sparks Cut Off VPA,1,Either,1,3,70,4,
2024,Spirit Creek Forest WMA,1,Either,1,9,140,10,
2024,Sprewell Bluff WMA - East,1,Either,8,6,217,14,
2024,Sprewell Bluff WMA - West,2,Either,3,4,636,7,
2024,Standing Boy State Park,4,Either,1,2,19,3,
2024,Swallow Creek WMA,4,Antlered,0,14,412,14,
2024,Tallapoosa River WMA,4,Either,5,4,106,9,
2024,Tallulah George WMA,1,Antlered,0,0,26,0,
2024,Townsend WMA - Buck Island Tract,3,Either,0,0,294,0,
2024,"Townsend WMA  - North, South, and Pine Island Tracts",10,Either,36,63,688,99,
2024,Treat Mountain WMA,6,Either,5,21,301,26,
2024,Tuckahoe WMA,6,Either,32,48,573,80,
2024,Tugaloo State Park ,1,Either,8,2,29,10,
2024,Warwoman WMA,3,Antlered,0,20,286,20,
2024,West Point WMA,7,Either,13,23,759,36,
2024,West Point WMA - Dixie Creek,1,Either,4,7,222,11,
2024,West Point WMA - Glover Creek,1,Either,0,1,76,1,
2024,Wilson Shoals WMA,3,Either,14,17,771,31,
2024,Yuchi WMA,8,Either,28,34,571,62,
2024,Zahnd WMA,1,Either,6,7,82,13,
2023,Alapaha River WMA,5,Either,36,53,758,89,
2023,Albany Nursery WMA,3,Either,2,3,32,5,
2023,Alexander WMA,2,Either,23,17,126,40,
2023,Allatoona WMA,4,Either,52,82,1242,134,
2023,Alligator Creek WMA,3,Either,14,13,243,27,
2023,Altama Plantation WMA,4,Either,9,10,178,19,
2023,"Altamaha WMA - Buffalo Swamp, Lewis Island, and McGowan Lake Tracts",3,Either,7,5,264,12,
2023,Arrowhead,1,Either,0,0,0,0,
2023,B.F. Grant WMA,4,Either,61,72,705,133,
2023,Balls Ferry State Park,2,Either,1,0,24,1,
2023,Bartam Forest,1,Either,19,11,70,30,
2023,Beaverdam WMA,5,Either,23,32,320,55,
2023,Berry College WMA,4,Either,53,152,982,205,
2023,Big Dukes Pond WMA,3,Either,15,25,277,40,
2023,Big Hammock WMA,2,Either,3,7,190,10,
2023,Big Lazer Creek WMA,5,Either,36,40,633,76,
2023,Blanton Creek,4,Either,29,40,400,69,
2023,Blue Ridge WMA,4,Either,3,24,489,27,
2023,Broad River WMA,1,Either,7,7,86,14,
2023,Buck Shoals WMA,3,Either,13,10,30,23,
2023,Bullard Creek WMA,5,Either,123,180,748,303,
2023,Bullard Creek WMA - Bell Telephone Tract,1,Either,3,4,87,7,
2023,Bullard Creek WMA - Montgomery Tract ,1,Either,0,0,83,0,
2023,Bullard Creek WMA - Ocmulgee Tract,1,Either,6,3,161,9,
2023,Camp Thunder VPA,1,Either,8,2,225,10,
2023,Canoochee Sandhills WMA,4,Either,19,19,378,38,
2023,Cardinal VPA,1,Either,3,4,32,7,
2023,Carters Lake WMA,3,Either,15,12,316,27,
2023,Cedar Creek WMA,5,Either,111,404,2354,515,
2023,Cedar Grove VPA,1,Either,0,1,39,1,
2023,Ceylon WMA,4,Either,34,26,226,60,
2023,Chattahoochee Bend State Park,1,Either,13,22,56,35,
2023,Chattahoochee Fall Line WMA - Almo,3,Either,24,26,169,50,
2023,Chattahoochee Fall Line - Blackjack Crossing,1,Either,4,0,104,4,
2023,Chattahoochee Fall Line WMA - Fort Perry,6,Either,11,9,97,20,
2023,Chattahoochee Fall Line WMA - Hilliard,5,Either,36,25,236,61,
2023,Chattahoochee Fall Line WMA - VPA Tracts,1,Either,3,9,90,12,
2023,Chattahoochee WMA,4,Antlered,0,17,530,17,
2023,Chestatee WMA,4,Antlered,0,11,535,11,
2023,Chickasawhatchee WMA,6,Either,98,164,692,262,
2023,Clarks Hill WMA,5,Either,90,96,1027,186,
2023,Clayhole Swamp WMA,5,Either,24,37,315,61,
2023,Clybel WMA,7,Either,53,93,622,146,
2023,Cohutta WMA,3,Antlered,0,36,1436,36,
2023,Conasauga River WMA,1,Either,3,7,303,10,
2023,Coopers Creek WMA,5,Antlered,0,56,843,56,
2023,Coosawattee WMA,3,Either,37,43,398,80,
2023,Crockford-Pigeon Mountain WMA,4,Either,71,201,1439,272,
2023,Dawson Forest WMA,5,Either,39,95,2120,134,
2023,Di-Lane Plantation WMA,4,Either,81,51,631,132,
2023,Dixon Memorial WMA,7,Either,27,67,722,94,
2023,Doerun Pitcherplant Bog WMA,1,Either,5,23,94,28,
2023,Dukes Creek - Smithgall Woods State Park,4,Antlered,0,13,190,13,
2023,Dupoont Tract VPA,2,Either,0,3,9,3,
2023,Echeconnee Creek WMA,1,Either,6,4,87,10,
2023,Elbert County WMA,4,Either,18,25,191,43,
2023,Elmodel WMA,1,Either,0,0,130,0,
2023,F.D. Roosevelt State Park,1,Either,3,5,44,8,
2023,Fishing Creek WMA,4,Either,11,18,230,29,
2023,Flat Creek PFA,1,Either,15,12,134,27,
2023,Flat Tub WMA ,5,Either,28,39,552,67,
2023,Flint River WMA,4,Either,31,20,227,51,
2023,Fort Yargo State Park,1,Either,20,21,61,41,
2023,Gaither WMA,4,Either,7,11,149,18,
2023,Germany Creek WMA,4,Either,11,11,129,22,
2023,Grand Bay WMA,11,Either,20,25,154,45,
2023,Griffen Ridge WMA,4,Either,16,14,171,30,
2023,Hannahatchee WMA,3,Either,30,43,1303,73,
2023,Hard Labor Creek State Park,1,Either,69,71,144,140,
2023,Hart County WMA,3,Either,15,23,213,38,
2023,Horse Creek MWA ,6,Either,53,68,500,121,
2023,J.L. Lester WMA,3,Either,19,13,231,32,
2023,Joe Kurz WMA,3,Either,48,42,437,90,
2023,Johns Mountain WMA,4,Either,12,39,657,51,
2023,Keg Creek,1,Either,3,4,115,7,
2023,Kretlow Farm VPA,1,Either,0,0,0,0,
2023,Lake Russell WMA,5,Either,27,124,1330,151,
2023,Lake Seminole WMA,3,Either,42,25,31,67,
2023,Lake Walter F. George WMA,1,Either,7,4,46,11,
2023,Lanahassee WMA,5,Either,41,35,203,76,
2023,Little River WMA,2,Either,5,5,246,10,
2023,Little Satilla WMA ,4,Either,51,29,340,80,
2023,Lola Tract VPA,2,Either,3,6,41,9,
2023,Lower Broad River WMA,4,Either,17,11,201,28,
2023,Mayhaw WMA ,4,Either,96,78,482,174,
2023,McGraw Ford WMA,1,Either,17,12,655,29,
2023,Mead Farm WMA,1,Either,0,1,28,1,
2023,Mistletoe State Park,1,Either,24,18,40,42,
2023,Montezuma Bluffs WMA,1,Either,5,4,58,9,
2023,Moody Forest WMA,1,Either,57,19,188,76,
2023,Morgan Lake WMA,1,Either,0,3,5,3,
2023,Oaky Woods WMA,5,Either,48,110,687,158,
2023,Ocmulgee WMA,5,Either,56,201,958,257,
2023,Ocmulgee WMA - Gum Swamp Creek,1,Either,1,5,108,6,
2023,Oconee WMA,3,Either,90,89,771,179,
2023,Oconee WMA - Dan Denton Waterfowl Area,1,Either,1,2,31,3,
2023,Ohoopee Dunes WMA - North Tract ,3,Either,36,51,202,87,
