year,zone,weapon,propertyType,dateOpened,dateClosed,sex,Link,Notes
2026,CMZ,Gun-Dog,Public,11/22/2025,12/12/2025,Antlered,,
2026,CMZ,Gun-Dog,Public,12/13/2025,1/15/2026,Either,,
2025,A,Archery,Both,10/15/2024,2/10/2025,Either,https://www.law.cornell.edu/regulations/alabama/Ala-Admin-Code-r-220-X-2-.01,
2025,A,Youth-Gun,Both,11/15/2024,11/18/2024,Either,,
2025,A,Muzzleloader,Both,11/18/2024,11/22/2024,Either,,
2025,A,Gun,Private,11/23/2024,2/10/2025,Either,,
2025,A,Gun,Public,11/23/2024,12/13/2024,Antlered,,
2025,A,Gun,Public,12/14/2024,1/5/2025,Either,,
2025,A,Gun,Public,1/6/2025,2/10/2025,Antlered,,
2025,A,Gun-Dog,Private,11/23/2024,1/5/2025,Either,,
2025,A,Gun-Dog,Public,11/23/2024,12/13/2024,Antlered,,
2025,A,Gun-Dog,Public,12/14/2024,1/5/2025,Either,,
2025,A,Gun-Dog,Public,1/6/2025,1/15/2025,Antlered,,
2025,B,Archery,Both,10/15/2024,10/24/2024,Antlered,,
2025,B,Archery,Both,10/25/2024,2/10/2025,Either,,
2025,B,Youth-Gun,Both,11/15/2024,11/18/2024,Either,,
2025,B,Muzzleloader,Both,11/18/2024,11/22/2024,Either,,
2025,B,Gun,Private,11/23/2024,2/10/2025,Either,,
2025,B,Gun,Public,11/23/2024,12/13/2024,Antlered,,
2025,B,Gun,Public,12/14/2024,1/5/2025,Either,,
2025,B,Gun,Public,1/6/2025,2/10/2025,Antlered,,
2025,B,Gun-Dog,Private,11/23/2024,1/15/2025,Either,,
2025,B,Gun-Dog,Public,11/23/2024,12/13/2024,Antlered,,
2025,B,Gun-Dog,Public,12/14/2024,1/5/2025,Either,,
2025,B,Gun-Dog,Public,1/6/2025,1/15/2025,Antlered,,
2025,C,Archery,Both,10/15/2024,2/10/2025,Either,,
2025,C,Youth-Gun,Both,11/5/2024,11/18/2024,Either,,
2025,C,Muzzleloader,Both,11/18/2024,11/22/2024,Either,,
2025,C,Gun,Private,11/23/2024,12/1/2024,Either,,
2025,C,Gun,Private,12/2/2024,12/13/2024,Antlered,,
2025,C,Gun,Private,12/14/2024,1/1/2025,Either,,
2025,C,Gun,Private,1/2/2025,2/10/2025,Antlered,,
2025,C,Gun,Public,11/23/2024,12/13/2024,Antlered,,
2025,C,Gun,Public,12/14/2024,1/1/2025,Either,,
2025,C,Gun,Public,1/2/2025,2/10/2025,Antlered,,
2025,C,Gun-Dog,Private,11/23/2024,12/1/2024,Either,,
2025,C,Gun-Dog,Private,12/2/2024,12/13/2024,Antlered,,
2025,C,Gun-Dog,Private,12/14/2024,1/1/2025,Either,,
2025,C,Gun-Dog,Private,1/2/2025,1/15/2025,Antlered,,
2025,C,Gun-Dog,Public,11/23/2024,12/13/2024,Antlered,,
2025,C,Gun-Dog,Public,12/14/2024,1/1/2025,Either,,
2025,C,Gun-Dog,Public,1/2/2025,1/15/2025,Antlered,,
2025,D,Archery,Both,10/1/2024,1/15/2025,Either,,
2025,D,Archery,Both,1/16/2025,1/27/2026,Antlered,,
2025,D,Youth-Gun,Both,11/1/2024,11/4/2024,Either,,
2025,D,Muzzleloader,Both,11/4/2024,11/8/2024,Either,,
2025,D,Gun,Private,11/9/2024,11/22/2024,Antlered,,
2025,D,Gun,Private,11/23/2024,12/1/2024,Either,,
2025,D,Gun,Private,12/2/2024,12/13/2024,Antlered,,
2025,D,Gun,Private,12/14/2024,1/1/2025,Either,,
2025,D,Gun,Private,1/2/2025,1/27/2025,Antlered,,
2025,D,Gun,Public,11/9/2024,12/13/2024,Antlered,,
2025,D,Gun,Public,12/14/2024,1/1/2025,Either,,
2025,D,Gun,Public,1/2/2025,1/27/2025,Antlered,,
2025,D,Gun-Dog,Private,11/9/2024,11/22/2024,Antlered,,
2025,D,Gun-Dog,Private,11/23/2024,12/1/2024,Either,,
2025,D,Gun-Dog,Private,12/2/2024,12/13/2024,Antlered,,
2025,D,Gun-Dog,Private,12/14/2024,1/1/2025,Either,,
2025,D,Gun-Dog,Public,11/9/2024,12/13/2024,Antlered,,
2025,D,Gun-Dog,Public,12/14/2024,1/1/2025,Either,,
2025,E,Archery,Both,10/1/2024,1/15/2025,Either,,
2025,E,Archery,Both,1/16/2025,1/27/2025,Antlered,,
2025,E,Youth-Gun,Both,11/1/2024,11/4/2024,Either,,
2025,E,Muzzleloader,Both,11/4/2024,11/8/2024,Either,,
2025,E,Gun,Private,11/9/2024,1/15/2025,Either,,
2025,E,Gun,Private,1/16/2025,1/27/2025,Antlered,,
2025,E,Gun,Public,11/9/2024,12/13/2024,Antlered,,
2025,E,Gun,Public,12/14/2024,1/1/2024,Either,,
2025,E,Gun,Public,1/2/2025,1/27/2025,Antlered,,
2025,E,Gun-Dog,Private,11/9/2024,1/1/2025,Either,,
2025,E,Gun-Dog,Public,11/9/2024,12/13/2024,Antlered,,
2025,E,Gun-Dog,Public,12/14/2024,1/1/2025,Either,,
2025,CMZ,Archery,Both,10/15/2024,2/10/2025,Either,,
2025,CMZ,Youth-Gun,Both,11/15/2024,11/18/2024,Either,,
2025,CMZ,Muzzleloader,Both,11/18/2024,11/22/2024,Either,,
2025,CMZ,Gun,Private,11/23/2024,2/10/2025,Either,,
2025,CMZ,Gun,Public,11/23/2024,12/13/2024,Antlered,,
2025,CMZ,Gun,Public,12/14/2024,1/5/2025,Either,,
2025,CMZ,Gun,Public,1/6/2025,1/15/2025,Antlered,,
2024,A,Archery,Both,10/14/2023,2/10/2024,Either,https://www.outdooralabama.com/sites/default/files/Enforcement/2023-2024%20REGULATION%20BOOK%20FINAL.pdf,"2024 and prior, Muzelloader public lands are only USFS"
2024,A,Youth-Gun,Both,11/10/2023,11/13/2023,Either,,
2024,A,Muzzleloader,Both,11/13/2023,11/17/2023,Either,,
2024,A,Gun,Private,11/18/2023,2/10/2024,Either,,
2024,A,Gun,Public,11/18/2023,12/8/2023,Antlered,,
2024,A,Gun,Public,12/9/2023,12/31/2023,Either,,
2024,A,Gun,Public,1/1/2024,2/10/2024,Antlered,,
2024,A,Gun-Dog,Private,11/18/2023,1/15/2024,Either,,
2024,A,Gun-Dog,Public,11/18/2023,12/8/2023,Antlered,,
2024,A,Gun-Dog,Public,12/9/2023,12/31/2023,Either,,
2024,A,Gun-Dog,Public,1/1/2024,1/15/2024,Antlered,,
2024,B,Archery,Both,10/14/2023,10/24/2023,Antlered,,
2024,B,Archery,Both,10/25/2023,2/10/2024,Either,,
2024,B,Youth-Gun,Both,11/10/2023,11/13/2023,Either,,
2024,B,Muzzleloader,Both,11/13/2023,11/17/2023,Either,,
2024,B,Gun,Private,11/18/2023,2/10/2024,Either,,
2024,B,Gun,Public,11/18/2023,12/8/2023,Antlered,,
2024,B,Gun,Public,12/9/2023,12/31/2023,Either,,
2024,B,Gun,Public,1/1/2024,2/10/2024,Antlered,,
2024,B,Gun-Dog,Private,11/18/2023,1/15/2024,Either,,
2024,B,Gun-Dog,Public,11/18/2023,12/8/2023,Antlered,,
2024,B,Gun-Dog,Public,12/9/2023,12/31/2023,Either,,
2024,B,Gun-Dog,Public,1/1/2024,1/15/2024,Antlered,,
2024,C,Archery,Both,10/14/2023,2/10/2024,Either,,
2024,C,Youth-Gun,Both,11/10/2023,11/13/2023,Either,,
2024,C,Muzzleloader,Both,11/13/2023,11/17/2023,Either,,
2024,C,Gun,Private,11/18/2023,11/26/2023,Either,,
2024,C,Gun,Private,11/27/2023,12/15/2023,Antlered,,
2024,C,Gun,Private,12/16/2023,12/31/2023,Either,,
2024,C,Gun,Private,1/1/2024,2/10/2024,Antlered,,
2024,C,Gun,Public,11/18/2023,12/15/2023,Antlered,,
2024,C,Gun,Public,12/16/2023,12/31/2023,Either,,
2024,C,Gun,Public,1/1/2024,2/10/2024,Antlered,,
2024,C,Gun-Dog,Private,11/18/2023,11/26/2023,Either,,
2024,C,Gun-Dog,Private,11/27/2023,12/15/2023,Antlered,,
2024,C,Gun-Dog,Private,12/16/2023,12/31/2023,Either,,
2024,C,Gun-Dog,Private,1/1/2024,1/15/2024,Antlered,,
2024,C,Gun-Dog,Public,11/18/2023,12/15/2023,Antlered,,
2024,C,Gun-Dog,Public,12/16/2023,12/31/2023,Either,,
2024,C,Gun-Dog,Public,1/1/2024,1/15/2024,Antlered,,
2024,D,Archery,Both,9/30/2023,1/15/2024,Either,,
2024,D,Archery,Both,1/16/2024,1/27/2024,Antlered,,
2024,D,Youth-Gun,Both,10/27/2023,10/30/2023,Either,,
2024,D,Muzzleloader,Both,10/20/2023,11/3/2023,Either,,
2024,D,Gun,Private,11/4/2023,11/17/2023,Antlered,,
2024,D,Gun,Private,11/18/2023,11/26/2023,Either,,
2024,D,Gun,Private,11/27/2023,12/15/2023,Antlered,,
2024,D,Gun,Private,12/16/2023,12/31/2023,Either,,
2024,D,Gun,Private,1/1/2024,1/27/2024,Antlered,,
2024,D,Gun,Public,11/4/2023,12/15/2023,Antlered,,
2024,D,Gun,Public,12/16/2023,12/31/2023,Either,,
2024,D,Gun,Public,1/1/2024,1/27/2024,Antlered,,
2024,D,Gun-Dog,Private,11/4/2023,11/17/2023,Antlered,,
2024,D,Gun-Dog,Private,11/18/2023,11/26/2023,Either,,
2024,D,Gun-Dog,Private,11/27/2023,12/15/2023,Antlered,,
2024,D,Gun-Dog,Private,12/16/2023,12/31/2023,Either,,
2024,D,Gun-Dog,Public,11/4/2023,12/15/2023,Antlered,,
2024,D,Gun-Dog,Public,12/16/2023,12/31/2023,Either,,
2024,E,Archery,Both,9/30/2023,1/15/2024,Either,,
2024,E,Archery,Both,1/16/2024,1/27/2024,Antlered,,
2024,E,Youth-Gun,Both,10/27/2023,10/30/2023,Either,,
2024,E,Muzzleloader,Both,10/30/2023,11/3/2023,Either,,
2024,E,Gun,Private,11/4/2023,1/15/2024,Either,,
2024,E,Gun,Private,1/16/2024,1/27/2024,Antlered,,
2024,E,Gun,Public,11/4/2023,12/15/2023,Antlered,,
2024,E,Gun,Public,12/16/2023,12/31/2023,Either,,
2024,E,Gun,Public,1/1/2024,1/27/2024,Antlered,,
2024,E,Gun-Dog,Private,11/4/2023,12/15/2023,Either,,
2024,E,Gun-Dog,Public,11/4/2023,12/15/2023,Antlered,,
2024,E,Gun-Dog,Public,12/16/2023,12/31/2023,Either,,
2024,CMZ,Archery,Both,10/14/2023,2/10/2024,Either,,
2024,CMZ,Youth-Gun,Both,11/10/2023,11/13/2023,Either,,
2024,CMZ,Muzzleloader,Both,11/13/2023,11/17/2023,Either,,
2024,CMZ,Gun,Private,11/18/2023,1/15/2024,Either,,
2024,CMZ,Gun,Public,11/18/2023,12/8/2023,Antlered,,
2024,CMZ,Gun,Public,12/9/2023,12/31/2023,Either,,
2024,CMZ,Gun,Public,1/1/2024,1/15/2024,Antlered,,
2023,A,Archery,Both,10/15/2022,2/10/2023,Either,https://www.outdooralabama.com/sites/default/files/Enforcement/2022-2023%20Reglation%20Book.pdf,
2023,A,Youth-Gun,Both,11/11/2022,11/14/2022,Either,,
2023,A,Muzzleloader,Both,11/14/2022,11/18/2022,Either,,
2023,A,Gun,Private,11/19/2022,2/10/2023,Either,,
2023,A,Gun,Public,11/19/2022,12/9/2022,Antlered,,
2023,A,Gun,Public,12/10/2022,1/1/2023,Either,,
2023,A,Gun,Public,1/2/2023,2/10/2023,Antlered,,
2023,A,Gun-Dog,Private,11/19/2022,12/9/2022,Antlered,,
2023,A,Gun-Dog,Public,11/19/2022,12/9/2022,Antlered,,
2023,A,Gun-Dog,Public,12/10/2022,1/1/2023,Either,,
2023,A,Gun-Dog,Public,1/2/2023,1/15/2023,Antlered,,
2023,B,Archery,Both,10/15/2022,10/24/2022,Antlered,,
2023,B,Archery,Both,10/25/2022,2/10/2023,Either,,
2023,B,Youth-Gun,Both,11/11/2022,11/14/2022,Either,,
2023,B,Muzzleloader,Both,11/14/2022,11/18/2022,Either,,
2023,B,Gun,Private,11/19/2022,2/10/2023,Either,,
2023,B,Gun,Public,11/19/2022,12/9/2022,Antlered,,
2023,B,Gun,Public,12/10/2022,1/1/2023,Either,,
2023,B,Gun,Public,1/2/2023,2/10/2023,Antlered,,
2023,B,Gun-Dog,Private,11/19/2022,1/15/2023,Either,,
2023,B,Gun-Dog,Public,11/19/2022,12/9/2022,Antlered,,
2023,B,Gun-Dog,Public,12/10/2022,1/1/2023,Either,,
2023,B,Gun-Dog,Public,1/2/2023,1/15/2023,Antlered,,
2023,C,Archery,Both,10/15/2022,2/10/2023,Either,,
2023,C,Youth-Gun,Both,11/11/2022,11/14/2022,Either,,
2023,C,Muzzleloader,Both,11/14/2022,11/18/2022,Either,,
2023,C,Gun,Private,11/19/2022,11/27/2022,Either,,
2023,C,Gun,Private,11/28/2022,12/16/2022,Antlered,,
2023,C,Gun,Private,12/17/2022,1/1/2023,Either,,
2023,C,Gun,Private,1/2/2023,2/10/2023,Antlered,,
2023,C,Gun,Public,11/19/2022,12/16/2022,Antlered,,
2023,C,Gun,Public,12/17/2022,1/1/2023,Either,,
2023,C,Gun,Public,1/2/2023,2/10/2023,Antlered,,
2023,C,Gun-Dog,Private,11/19/2022,11/27/2022,Either,,
2023,C,Gun-Dog,Private,11/28/2022,12/16/2022,Antlered,,
2023,C,Gun-Dog,Private,12/17/2022,1/1/2023,Either,,
2023,C,Gun-Dog,Private,1/2/2023,1/15/2023,Antlered,,
2023,C,Gun-Dog,Public,11/19/2022,12/16/2022,Antlered,,
2023,C,Gun-Dog,Public,12/17/2022,1/1/2023,Either,,
2023,C,Gun-Dog,Public,1/2/2023,1/15/2023,Antlered,,
2023,D,Archery,Both,10/1/2022,1/15/2023,Either,,
2023,D,Archery,Both,1/16/2023,1/27/2023,Antlered,,
2023,D,Youth-Gun,Both,10/28/2022,10/31/2022,Either,,
2023,D,Muzzleloader,Both,10/31/2022,11/4/2022,Either,,
2023,D,Gun,Private,11/5/2022,11/18/2022,Antlered,,
2023,D,Gun,Private,11/19/2022,11/27/2022,Either,,
2023,D,Gun,Private,11/28/2022,12/16/2022,Antlered,,
2023,D,Gun,Private,12/17/2022,1/1/2023,Either,,
2023,D,Gun,Private,1/2/2023,1/27/2023,Antlered,,
2023,D,Gun,Public,11/5/2022,12/16/2022,Antlered,,
2023,D,Gun,Public,12/17/2022,1/1/2023,Either,,
2023,D,Gun,Public,1/2/2023,1/27/2023,Antlered,,
2023,D,Gun-Dog,Private,11/5/2022,11/18/2022,Antlered,,
2023,D,Gun-Dog,Private,11/19/2022,11/27/2022,Either,,
2023,D,Gun-Dog,Private,11/28/2022,12/16/2022,Antlered,,
2023,D,Gun-Dog,Private,12/17/2022,1/1/2023,Either,,
2023,D,Gun-Dog,Public,11/5/2022,12/16/2022,Antlered,,
2023,D,Gun-Dog,Public,12/17/2022,1/1/2023,EIther,,
2023,E,Archery,Both,10/1/2022,1/15/2023,Either,,
2023,E,Archery,Both,1/16/2023,1/27/2023,Antlered,,
2023,E,Youth-Gun,Both,10/28/2022,10/31/2022,Either,,
2023,E,Muzzleloader,Both,10/31/2022,11/4/2022,Either,,
2023,E,Gun,Private,11/5/2022,1/15/2023,Either,,
2023,E,Gun,Private,1/16/2023,1/27/2023,Antlered,,
2023,E,Gun,Public,11/5/2022,12/16/2022,Antlered,,
2023,E,Gun,Public,12/17/2022,1/1/2023,Either,,
2023,E,Gun,Public,1/2/2023,1/27/2023,Antlered,,
2023,E,Gun-Dog,Private,11/5/2022,1/1/2023,Either,,
2023,E,Gun-Dog,Public,11/5/2022,12/16/2022,Antlered,,
2023,E,Gun-Dog,Public,12/17/2022,1/1/2023,Either,,
2023,CMZ,Archery,Both,10/15/2022,2/10/2023,Either,,
2023,CMZ,Youth-Gun,Both,11/11/2022,11/14/2022,Either,,
2023,CMZ,Muzzleloader,Both,11/14/2022,11/18/2022,Either,,
2023,CMZ,Gun,Private,11/19/2022,2/10/2023,Either,,
2023,CMZ,Gun,Public,11/19/2022,12/9/2022,Antlered,,
2023,CMZ,Gun,Public,12/10/2022,1/1/2023,Either,,
2023,CMZ,Gun,Public,1/2/2023,2/10/2023,Antlered,,
2023,CMZ,Gun-Dog,Private,11/19/2022,1/15/2023,Either,,
2023,CMZ,Gun-Dog,Public,11/19/2022,12/9/2022,Antlered,,
2023,CMZ,Gun-Dog,Public,12/10/2022,1/1/2023,Either,,
2023,CMZ,Gun-Dog,Public,1/2/2023,1/15/2023,Antlered,,
2022,A,Archery,Both,10/15/2021,2/10/2022,Either,https://www.outdooralabama.com/sites/default/files/Enforcement/2021-2022%20REGULATION%20BOOK%20Final%209.29.21.pdf,
2022,A,Youth-Gun,Both,11/12/2021,11/15/2021,Either,,
2022,A,Muzzleloader,Both,11/15/2021,11/19/2021,Either,,
2022,A,Gun,Private,11/20/2021,2/10/2022,Either,,
2022,A,Gun,Public,11/20/2021,12/10/2021,Antlered,,
2022,A,Gun,Public,12/11/2021,1/1/2022,Either,,
2022,A,Gun,Public,1/2/2022,2/10/2022,Antlered,,
2022,A,Gun-Dog,Private,11/20/2021,1/15/2022,Either,,
2022,A,Gun-Dog,Public,11/20/2021,12/10/2021,Antlered,,
2022,A,Gun-Dog,Public,12/11/2021,1/1/2022,Either,,
2022,A,Gun-Dog,Public,1/2/2022,1/15/2022,Antlered,,
2022,B,Archery,Both,10/15/2021,10/24/2021,Antlered,,
2022,B,Archery,Both,10/25/2021,2/10/2022,Either,,
2022,B,Youth-Gun,Both,11/12/2021,11/15/2021,Either,,
2022,B,Muzzleloader,Both,11/15/2021,11/19/2021,Either,,
2022,B,Gun,Private,11/20/2021,2/10/2022,Either,,
2022,B,Gun,Public,11/20/2021,12/10/2021,Antlered,,
2022,B,Gun,Public,12/11/2021,1/1/2022,Either,,
2022,B,Gun,Public,1/2/2022,1/15/2022,Antlered,,
2022,B,Gun-Dog,Private,11/20/2021,1/15/2022,Either,,
2022,B,Gun-Dog,Public,11/20/2021,12/10/2021,Antlered,,
2022,B,Gun-Dog,Public,12/11/2021,1/1/2022,Either,,
2022,B,Gun-Dog,Public,1/2/2022,1/15/2022,Antlered,,
2022,C,Archery,Both,10/15/2021,2/10/2022,Either,,
2022,C,Youth-Gun,Both,11/12/2021,11/15/2021,Either,,
2022,C,Muzzleloader,Both,11/15/2021,11/19/2021,Either,,
2022,C,Gun,Private,11/20/2021,11/28/2021,Either,,
2022,C,Gun,Private,11/29/2021,12/17/2021,Antlered,,
2022,C,Gun,Private,12/18/2021,1/1/2022,Either,,
2022,C,Gun,Private,1/2/2022,2/10/2022,Antlered,,
2022,C,Gun,Public,11/20/2021,12/17/2021,Antlered,,
2022,C,Gun,Public,12/18/2021,1/1/2022,Either,,
2022,C,Gun,Public,1/2/2022,1/15/2022,Antlered,,
2022,C,Gun-Dog,Private,11/20/2021,11/28/2021,Either,,
2022,C,Gun-Dog,Private,11/29/2021,12/17/2021,Antlered,,
2022,C,Gun-Dog,Private,12/18/2021,1/1/2022,Either,,
2022,C,Gun-Dog,Private,1/2/2022,1/15/2022,Antlered,,
2022,C,Gun-Dog,Public,11/20/2021,12/17/2021,Antlered,,
2022,C,Gun-Dog,Public,12/18/2021,1/1/2022,Either,,
2022,C,Gun-Dog,Public,1/2/2022,1/15/2022,Antlered,,
2022,D,Archery,Both,10/1/2021,1/15/2022,Either,,
2022,D,Archery,Both,1/16/2022,1/27/2022,Antlered,,
2022,D,Youth-Gun,Both,10/29/2021,11/1/2021,Either,,
2022,D,Muzzleloader,Both,11/1/2021,11/5/2021,Either,,
2022,D,Gun,Private,11/6/2021,11/19/2021,Antlered,,
2022,D,Gun,Private,11/20/2021,11/28/2021,Either,,
2022,D,Gun,Private,11/29/2021,12/17/2021,Antlered,,
2022,D,Gun,Private,12/18/2021,1/1/2022,Either,,
2022,D,Gun,Private,1/2/2022,1/27/2022,Antlered,,
2022,D,Gun,Public,11/6/2021,11/19/2021,Antlered,,
2022,D,Gun,Public,11/20/2021,11/28/2021,Either,,
2022,D,Gun,Public,11/29/2021,12/17/2021,Antlered,,
2022,D,Gun,Public,12/18/2021,1/1/2022,Either,,
2022,D,Gun-Dog,Private,11/6/2021,11/19/2021,Antlered,,
2022,D,Gun-Dog,Private,11/20/2021,11/28/2021,Either,,
2022,D,Gun-Dog,Private,11/29/2021,12/17/2021,Antlered,,
2022,D,Gun-Dog,Private,12/18/2021,1/1/2022,Either,,
2022,D,Gun-Dog,Public,11/6/2021,12/17/2021,Antlered,,
2022,D,Gun-Dog,Public,12/18/2021,1/1/2022,Either,,
2022,E,Archery,Both,10/2/2021,1/15/2022,Either,,
2022,E,Archery,Both,1/16/2022,1/27/2022,Antlered,,
2022,E,Youth-Gun,Both,10/29/2021,11/1/2021,Either,,
2022,E,Muzzleloader,Both,11/1/2021,11/5/2021,Either,,
2022,E,Gun,Private,11/6/2021,1/15/2022,Either,,
2022,E,Gun,Private,1/16/2022,1/27/2022,Antlered,,
2022,E,Gun,Public,11/6/2021,12/17/2021,Antlered,,
2022,E,Gun,Public,12/18/2021,1/1/2022,Either,,
2022,E,Gun,Public,1/2/2022,1/27/2022,Antlered,,
2022,E,Gun-Dog,Private,11/6/2021,1/1/2022,Either,,
2022,E,Gun-Dog,Public,11/6/2021,12/17/2021,Antlered,,
2022,E,Gun-Dog,Public,12/18/2021,1/1/2022,Either,,
2021,A,Archery,Both,10/15/2020,2/10/2021,Either,https://www.outdooralabama.com/sites/default/files/Enforcement/2020-2021%20REGULATION%20BOOK.pdf,
2021,A,Muzzleloader,Both,11/16/2020,11/20/2020,Either,,
2021,A,Gun,Private,11/21/2020,2/10/2021,Either,,
2021,A,Gun,Public,11/21/2020,12/11/2020,Antlered,,
2021,A,Gun,Public,12/12/2020,1/1/2021,Either,,
2021,A,Gun,Public,1/2/2021,2/10/2021,Antlered,,
2021,A,Gun-Dog,Private,11/21/2020,1/15/2021,Either,,
2021,A,Gun-Dog,Public,11/21/2020,12/11/2020,Antlered,,
2021,A,Gun-Dog,Public,12/12/2020,1/1/2021,Either,,
2021,A,Gun-Dog,Public,1/2/2021,1/15/2021,Antlered,,
2021,B,Archery,Both,10/15/2020,10/24/2020,Antlered,,
2021,B,Archery,Both,10/25/2020,2/10/2021,Either,,
2021,B,Muzzleloader,Both,11/16/2020,11/20/2020,Either,,
2021,B,Gun,Private,11/21/2020,2/10/2021,Either,,
2021,B,Gun,Public,11/21/2020,12/11/2020,Antlered,,
2021,B,Gun,Public,12/12/2020,1/1/2021,Either,,
2021,B,Gun,Public,1/2/2021,2/10/2021,Antlered,,
