Year,N_admale_preh,N_adfemale_preh,N_y1male_preh,N_y1female_preh,N_ymale_preh,N_yfemale_preh,N_fawnmale_preh,N_fawnfemale_preh,N_preharvest,N_admale_mid,N_adfemale_mid,N_y1male_mid,N_y1female_mid,N_ymale_mid,N_yfemale_mid,birth_malefawn,birth_femalefawn,N_midseason,N_admale_posth,N_adfemale_posth,N_y1male_posth,N_y1female_posth,N_ymale_posth,N_yfemale_posth,Nfawnmale_posth,N_fawnfemale_posth,N_postharvest,Model_Harvest,Model_harvest_adM,Model_harvest_adF,Model_harvest_y1M,Model_harvest_y1F,Model_harvest_yM,Model_harvest_yF,Model_harvest_fawnM,Model_harvest_fawnF,N_CFawn,N_Cyear,N_CY1,N_Cadult,Lambda,County,StartYear
2032,5860,6785,4257,4890,6172,7273,11159,11277,57673,9049,10251,5520,6386,8276,8210,14131,14131,75954,8094,9001,4937,5607,7402,7702,11823,11823,66389,8875,2185,2250,691,729,1258,462,709,591,23646,15104,10544,17095,1,Baldwin,2025
2033,5909,6751,4246,4878,6144,7240,11114,11232,57514,9083,10211,5495,6357,8242,8177,14072,14072,75709,8124,8966,4915,5582,7372,7671,11773,11773,66176,8856,2193,2241,688,726,1253,460,706,589,23546,15043,10497,17090,1,Baldwin,2025
2034,5931,6725,4227,4856,6119,7211,11067,11184,57320,9086,10169,5473,6332,8208,8142,14015,14015,75440,8127,8929,4895,5560,7341,7638,11726,11726,65942,8830,2194,2232,685,723,1248,458,704,586,23452,14979,10455,17056,1,Baldwin,2025
2035,5933,6697,4210,4837,6093,7180,11022,11140,57112,9072,10128,5450,6305,8174,8110,13957,13957,75153,8114,8893,4875,5536,7311,7608,11677,11677,65691,na,na,na,na,na,na,na,na,na,23354,14919,10411,17007,1,Baldwin,2025
2026,1535,2791,144,223,774,1106,1064,1411,9048,1301,2458,600,902,824,1138,2802,2802,12827,1008,2004,465,736,760,1011,2021,2021,10026,544,302,80,74,15,23,10,20,20,4042,1771,1201,3012,NA,Morgan,2025
2027,706,1924,391,721,737,1001,2001,2001,9482,850,2157,571,816,1550,1613,2540,2540,12637,658,1759,442,665,1429,1434,1832,1832,10051,444,197,70,71,13,43,14,18,18,3664,2863,1107,2417,0.99,Morgan,2025
2028,461,1689,371,652,1386,1420,1814,1814,9607,644,1909,1074,1158,1405,1462,2600,2600,12852,499,1557,832,944,1295,1299,1875,1875,10176,454,150,62,133,19,39,13,19,19,3750,2594,1776,2056,1.01,Morgan,2025
2029,349,1495,699,925,1256,1286,1856,1856,9722,812,1973,973,1049,1438,1496,2567,2567,12875,629,1609,754,855,1326,1330,1851,1851,10205,482,189,64,121,17,40,13,19,19,3702,2656,1609,2238,1,Morgan,2025
2030,440,1545,633,838,1286,1317,1832,1832,9723,831,1943,996,1074,1419,1477,2561,2561,12862,644,1584,771,876,1308,1313,1847,1847,10190,485,193,63,123,18,39,13,18,18,3694,2621,1647,2228,1,Morgan,2025
2031,451,1521,648,858,1269,1300,1829,1829,9705,851,1940,983,1060,1417,1475,2548,2548,12822,659,1582,761,864,1306,1311,1837,1837,10157,488,198,63,122,17,39,13,18,18,3674,2617,1625,2241,1,Morgan,2025
2032,461,1519,639,847,1267,1298,1819,1819,9669,852,1929,981,1058,1409,1467,2536,2536,12768,660,1573,760,863,1299,1304,1829,1829,10117,488,198,63,122,17,39,13,18,18,3658,2603,1623,2233,1,Morgan,2025
2033,462,1510,638,846,1260,1291,1811,1811,9629,852,1921,976,1053,1403,1460,2525,2525,12715,660,1567,756,859,1294,1298,1821,1821,10076,487,198,63,121,17,39,13,18,18,3642,2592,1615,2227,1,Morgan,2025
2034,462,1504,635,842,1255,1285,1803,1803,9589,850,1913,972,1048,1397,1454,2514,2514,12662,658,1560,753,855,1288,1292,1813,1813,10032,484,197,62,120,17,39,13,18,18,3626,2580,1608,2218,1,Morgan,2025
2035,461,1498,633,838,1249,1279,1795,1795,9548,847,1905,967,1043,1390,1447,2503,2503,12605,656,1553,749,851,1282,1286,1805,1805,9987,na,na,na,na,na,na,na,na,na,3610,2568,1600,2209,1,Morgan,2025
2026,2435,4012,222,328,1187,1625,1581,2117,13507,2175,3552,972,1330,1173,1612,4067,4067,18948,1780,2907,796,1089,1043,1491,3150,3150,15406,1027,463,233,111,44,52,30,63,31,6300,2534,1885,4687,NA,Cullman,2025
2027,1317,2674,685,1045,991,1461,3087,3119,14379,1639,3044,811,1196,2289,2375,3630,3630,18614,1342,2492,664,979,2035,2196,2812,2812,15332,910,349,199,93,39,102,44,56,28,5624,4231,1643,3834,1,Cullman,2025
2028,993,2293,571,940,1933,2152,2756,2784,14422,1280,2646,1582,1761,2044,2120,3738,3738,18909,1048,2166,1295,1441,1817,1960,2895,2895,15517,901,272,173,181,58,91,39,58,29,5790,3777,2736,3214,1.01,Cullman,2025
2029,776,1993,1114,1383,1726,1921,2837,2866,14616,1547,2763,1413,1572,2104,2183,3686,3686,18954,1266,2262,1157,1287,1870,2019,2855,2855,15571,942,329,181,162,51,93,40,57,29,5710,3889,2444,3528,1,Cullman,2025
2030,937,2081,995,1236,1777,1979,2798,2826,14629,1581,2715,1455,1620,2075,2152,3683,3683,18964,1294,2222,1191,1326,1844,1990,2853,2853,15573,952,336,178,167,53,92,40,57,29,5706,3834,2517,3516,1,Cullman,2025
2031,958,2044,1024,1273,1752,1950,2796,2824,14621,1622,2715,1434,1596,2074,2151,3664,3664,18920,1328,2222,1174,1306,1843,1989,2838,2838,15538,956,345,178,164,52,92,40,57,28,5676,3832,2480,3550,1,Cullman,2025
2032,983,2044,1010,1254,1751,1949,2781,2810,14582,1631,2700,1433,1595,2062,2140,3650,3650,18861,1335,2210,1173,1306,1833,1979,2827,2827,15490,957,347,177,164,52,92,40,57,28,5654,3812,2479,3545,1,Cullman,2025
2033,988,2033,1009,1254,1741,1939,2770,2799,14533,1635,2691,1425,1587,2054,2132,3636,3636,18796,1338,2203,1166,1299,1826,1971,2816,2816,15435,953,348,176,163,52,91,39,56,28,5632,3797,2465,3541,1,Cullman,2025
2034,990,2027,1003,1247,1735,1932,2760,2788,14482,1631,2680,1420,1581,2047,2123,3621,3621,18724,1335,2194,1162,1294,1819,1963,2805,2805,15377,952,347,176,163,52,91,39,56,28,5610,3782,2456,3529,1,Cullman,2025
2035,988,2018,999,1242,1728,1924,2749,2777,14425,1626,2668,1414,1575,2039,2115,3606,3606,18649,1331,2184,1157,1289,1812,1956,2793,2793,15315,na,na,na,na,na,na,na,na,na,5586,3768,2446,3515,1,Cullman,2025
